model,sampler,thr_val_best_f1,val_best_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
DecisionTree,None,0.6383257030739045,0.4406920415220268,0.7865342163355409,0.34270226862075887,0.5794953038361434,0.43069806560134566,0.7818899132887064,0.36160276192785135
DecisionTree,SMOTE,0.5949367088607594,0.424842226046574,0.7901608325449385,0.34251497005988024,0.5501867149485119,0.4221952066689823,0.7671070109797933,0.350328482106818
DecisionTree,SMOTE+Tomek,0.6212121212121212,0.4276425223040713,0.8006149479659413,0.3526999845273093,0.5158990607672287,0.4189679731654643,0.7669064968182614,0.348997834110275
DecisionTree,ADASYN,0.5949453458496573,0.42430939226472925,0.7757332071901608,0.3232939632545932,0.5575421523141337,0.40927025792249866,0.7591670540392755,0.3365859772282458
DecisionTree,SMOTE+ENN,0.21488799358549215,0.3390793710925101,0.8158467360454116,0.3365163368614818,0.3309946814529818,0.33373267157282216,0.6126661838236123,0.22703220847771352
KNN,None,0.22914320961717907,0.43519686142590264,0.7908230842005677,0.34656689530936047,0.5660291954283128,0.42990975504941986,0.766441172855383,0.3367302838033838
KNN,SMOTE+Tomek,0.23529411764705882,0.4301432958030318,0.7668243456322926,0.3241949778434269,0.620912074233337,0.42597624408042856,0.7629772957942191,0.3246063328871432
KNN,SMOTE,0.23529411764705882,0.42985611510746446,0.7672343109429202,0.32411090660808645,0.6177435781373769,0.42515576323987536,0.7612492797268147,0.3237870844350489
KNN,ADASYN,0.24673150436689295,0.4280066318067199,0.7656259854935351,0.32270400658939813,0.6206857530836256,0.42463420298831,0.7604157075817467,0.32143597781512157
KNN,SMOTE+ENN,0.20786457859772825,0.34648729446887877,0.7706401766004415,0.2846797918081014,0.4270680095054883,0.3416312120937811,0.6449527577560484,0.25301551403784606
LightGBM,None,0.6583742150079179,0.4650756693825296,0.8059918006937874,0.3750630630630631,0.5888876315491682,0.4582599506868616,0.8179588488044089,0.4069723381253191
LightGBM,SMOTE,0.8987528418251828,0.450873843442027,0.8012456638284453,0.3637941006362059,0.5694240126739843,0.44395429882218007,0.8051543523364284,0.3956258893350319
LightGBM,SMOTE+Tomek,0.904909458378299,0.45117335351958,0.8062125512456638,0.3689364609428376,0.5499603937988005,0.44161744661517494,0.8054769852987097,0.3967261096122906
LightGBM,ADASYN,0.8920297076315921,0.44396609713394175,0.7793125197098707,0.3389322510146737,0.6142356003168497,0.4368260099790761,0.7997700999136166,0.38806380706708987
LightGBM,SMOTE+ENN,0.06811402205865583,0.42176074875647174,0.7905550299590035,0.3384447674418605,0.5269887971030893,0.41217860777979376,0.7601367244614181,0.3601919244752537
LogisticRegression,SMOTE,0.6246868968009949,0.46069315300037733,0.7956322926521602,0.36080734440394224,0.6048432726038249,0.4519893450594055,0.815134696048318,0.3863320756078883
LogisticRegression,SMOTE+Tomek,0.6285845637321472,0.46081904491946857,0.7967833491012299,0.36191969459404183,0.6007694919090188,0.4517144558836042,0.8152066894184595,0.38636463954719336
LogisticRegression,ADASYN,0.6275807023048401,0.46016728369623267,0.789593188268685,0.3545472148712322,0.6215910376824715,0.45154130702836004,0.8145861379143733,0.3852592756760954
LogisticRegression,None,0.6398239731788635,0.460345332162241,0.8025386313465783,0.3681310818546079,0.5822111576326807,0.4510586069346425,0.8151552558090648,0.38668084763762206
LogisticRegression,SMOTE+ENN,0.6095043420791626,0.4529801324498755,0.7787764112267423,0.3398507370628508,0.6235147674550187,0.43992015968063874,0.8090668466112544,0.3736055255180204
RandomForest,None,0.6294838830900062,0.4459970887913746,0.7990696941028067,0.35909090909090907,0.5632001810569198,0.4385601621359651,0.7982254527802181,0.3832104641281832
RandomForest,SMOTE+Tomek,0.5916068025231809,0.443214829159862,0.7872595395774203,0.34537965853982594,0.5883218286748897,0.4352448723315195,0.7998875747833308,0.3836349746555032
RandomForest,SMOTE,0.6241831699330792,0.4427098674516595,0.8006464837590666,0.35903703703703704,0.5484893063256762,0.4339884496575189,0.7997679479491457,0.38364607614050195
RandomForest,ADASYN,0.6110870985564294,0.43660602694023753,0.7829233680227058,0.33675496688741724,0.5754215231413375,0.4248652713372603,0.7931161355869554,0.3689560436574768
RandomForest,SMOTE+ENN,0.24501316856857153,0.38641133263333444,0.7490539262062441,0.28729414593100133,0.5409075478103429,0.37526987242394505,0.7444276699251631,0.33395850935565147
XGBoost,None,0.6523354053497314,0.4662752398677805,0.8032639545884579,0.3714689265536723,0.5952246237410886,0.45745097186589556,0.8180279096564931,0.40782560400587187
XGBoost,SMOTE+Tomek,0.9006533622741699,0.4606772255593415,0.7911699779249448,0.3566829268292683,0.62057259250877,0.45299851313398315,0.8131446015988254,0.40609823121641253
XGBoost,SMOTE,0.8903891444206238,0.45745943806840145,0.7826553137811416,0.3485395872879799,0.6441099920787597,0.4523204068658614,0.8127766353695914,0.40455502291736956
XGBoost,ADASYN,0.9053504467010498,0.45589026358211243,0.7862976978871019,0.3505703422053232,0.6260043001018445,0.4494455051387253,0.8105040188755397,0.4010599302789851
XGBoost,SMOTE+ENN,0.3424209654331207,0.42072174022337044,0.7568432671081677,0.3100623124855758,0.6081249292746407,0.4107149680920173,0.7543100235824416,0.36273079055706425
