model,sampler,thr_val_best_f1,val_best_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
DecisionTree,SMOTE+ENN,0.592453666190203,0.4198043284904805,0.7922737306843267,0.3417961625446852,0.5301572931990495,0.41563165365507454,0.7543528659194219,0.30692359186670826
DecisionTree,None,0.6069651741293532,0.3662909836061089,0.7400189214758751,0.27721157766000815,0.5386443363132285,0.36604121808674256,0.6900613900938743,0.27771750844794746
DecisionTree,SMOTE+Tomek,0.2,0.37190586513796026,0.7270261747082939,0.2696384887197608,0.5612764512843725,0.36427732079905994,0.6898325438066627,0.26408120867232004
DecisionTree,ADASYN,0.2287385204695335,0.35788325149981115,0.7528066855881426,0.2835169008735283,0.5068462147787711,0.3636289831540491,0.6895050046556341,0.26196123734579047
DecisionTree,SMOTE,0.14285714285714285,0.36835708761421404,0.6961999369284138,0.256467731390679,0.6214778771076157,0.36309543486165746,0.6876404445767035,0.26222965848750845
KNN,None,0.22810160972630014,0.4473172087846333,0.7916587827183854,0.3551568913014696,0.6071064841009393,0.4481476840830305,0.7961224164767287,0.3675602244061249
KNN,SMOTE+ENN,0.9028550576805955,0.4481801357182088,0.8073793755912961,0.36826510721247563,0.5344573950435668,0.43606315206352136,0.7986217024153195,0.35156900814334757
KNN,SMOTE+Tomek,0.6561171105078251,0.43523454157736824,0.7742667928098391,0.3317777095486644,0.6114065859454566,0.430140912347743,0.7879542839238608,0.3462795466044325
KNN,SMOTE,0.6561171105078251,0.4350623240847851,0.7747555976032797,0.3317479925880173,0.6077854475500736,0.4292164462380629,0.7875720718142223,0.34694266559501685
KNN,ADASYN,0.6609498358304203,0.4273191155300977,0.7678492589088616,0.3242145502329471,0.6142356003168497,0.4244106493608038,0.7814905600979086,0.33201744179896636
LightGBM,SMOTE+ENN,0.8477679617705092,0.4720658293628883,0.8092399873856827,0.38302604204031854,0.6041643091546905,0.4688268352651914,0.826734807661054,0.4207083704128489
LightGBM,ADASYN,0.639175861184784,0.4727579895813989,0.8030747398297067,0.37448446521858675,0.616498811813964,0.4659397049390635,0.8248494649541505,0.4177373852986227
LightGBM,None,0.6758504391055319,0.47590456628170624,0.82360454115421,0.402972749793559,0.5522236052959149,0.4659378431278942,0.8254461167988751,0.419683318531633
LightGBM,SMOTE+Tomek,0.6522063704808707,0.47281186391345476,0.8077735730053611,0.379974234182651,0.6007694919090188,0.46551799728177473,0.8246979463382199,0.41757089531052
LightGBM,SMOTE,0.6516437716474623,0.4735772357718842,0.8080258593503626,0.3802897719122077,0.5999773678850289,0.4655164844813205,0.8251967957514399,0.4190248790446677
LogisticRegression,SMOTE+ENN,0.7506992220878601,0.46598594350836253,0.7863450015767897,0.3540595776305196,0.6469390064501528,0.457652897854627,0.8211059465368974,0.3961924682796535
LogisticRegression,SMOTE,0.6018931269645691,0.46631299734702414,0.7863923052664774,0.3539263118719762,0.6456942401267398,0.4572298569654233,0.81989370638938,0.393760786785885
LogisticRegression,None,0.6482475996017456,0.4671683635822299,0.8080573951434878,0.37713612256923984,0.5793821432612878,0.4568777049034043,0.8219235251078724,0.3972135209278189
LogisticRegression,ADASYN,0.6446632146835327,0.46521493212622816,0.7992431409649953,0.36584693807260454,0.6009958130587303,0.45482572578573266,0.8188278526920447,0.39150377284768206
LogisticRegression,SMOTE+Tomek,0.655944287776947,0.46621923937312365,0.8083096814884895,0.37626714370900416,0.5712345818716759,0.45369163708264054,0.8198695299600215,0.3937275205664781
RandomForest,SMOTE+ENN,0.6425557274921462,0.4695679107940026,0.8186376537369915,0.3935957837578855,0.5577684734638452,0.4615168539325843,0.8226161197385041,0.4112049928410978
RandomForest,None,0.5571040472892793,0.4693163751982405,0.8224377168085777,0.39938568819525155,0.5444155256308703,0.46075755399128476,0.8235162877204776,0.4173890991487014
RandomForest,SMOTE,0.35489085420090644,0.4622406638999505,0.7937086092715232,0.36036569323862144,0.6200067896344913,0.45580466702716194,0.8187331880237638,0.40297134586488204
RandomForest,SMOTE+Tomek,0.3391597464494209,0.46098821035853216,0.7837590665405235,0.3506461689226435,0.6478442910489985,0.4550151009378477,0.81886085880992,0.4020148331255826
RandomForest,ADASYN,0.3297898431151148,0.4611889435815312,0.7712551245663829,0.3385535307517084,0.672739617517257,0.45042997310300414,0.8171998428502032,0.39718414693917947
XGBoost,SMOTE+ENN,0.8510230183601379,0.47109453449960037,0.8080100914538001,0.38173832967344334,0.6098223378974765,0.4695477912346432,0.8272688711325744,0.42131255109136706
XGBoost,ADASYN,0.6604195237159729,0.47276940903776565,0.8074424471775465,0.3805309734513274,0.6082380898494965,0.4681647940074906,0.8261090825275492,0.42152591577448556
XGBoost,None,0.6408264636993408,0.4697498545661347,0.8088930936613056,0.38143734200072227,0.5976009958130587,0.46565558592716694,0.8245985682872572,0.41902544742829867
XGBoost,SMOTE,0.6575457453727722,0.472861608411011,0.8047461368653421,0.3761525565800503,0.6093696955980537,0.46516650110136915,0.8259770331778458,0.42130889290367957
XGBoost,SMOTE+Tomek,0.660762369632721,0.4714839821859959,0.8056133711762851,0.37713803054832123,0.6063143600769492,0.4650234334316959,0.8258585206797909,0.4217539936468218
