model,sampler,thr_val_best_f1,val_best_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_pr_auc
DecisionTree,SMOTE+ENN,0.46792773409545263,0.42321943186450206,0.7781456953642384,0.33089898532928325,0.5793821432612878,0.4212258329905389,0.748583563198763,0.30755758093932195
DecisionTree,None,0.6275182168881268,0.36683203401795755,0.765515610217597,0.2941457423580786,0.48783523820301006,0.36700293704507725,0.700135168039639,0.2884030567606656
DecisionTree,SMOTE+Tomek,0.2,0.36959340011742536,0.7161936297697887,0.2660128715905608,0.5893402738485911,0.3665669540735527,0.6975394604097529,0.2707874736908499
DecisionTree,SMOTE,0.2,0.36760051576560143,0.7163513087354147,0.2648751413009968,0.583342763381238,0.36432382769709176,0.6964164158724494,0.2716414399167692
DecisionTree,ADASYN,0.1955823570317601,0.36568047337235043,0.717202775149795,0.2649338569656883,0.5801742672852778,0.3637589130511902,0.6972502067383767,0.26946902054263877
KNN,SMOTE+ENN,0.7519226627074218,0.43952689813003754,0.7661778618732261,0.3264998841788279,0.6379993210365509,0.43194790270063205,0.7762198517888995,0.33074465538595793
KNN,None,0.21728267284149785,0.4319597190932239,0.7736045411542101,0.329124110182606,0.6016747765078646,0.42549615877080665,0.7557292068335172,0.3162782988278946
KNN,SMOTE,0.6384564487914417,0.42468772961010487,0.7908546199936929,0.33958982534966303,0.5302704537739051,0.4140307474818873,0.7509285939192065,0.309427552214079
KNN,SMOTE+Tomek,0.6447351906939844,0.42670195559428975,0.7903500473036897,0.3388274416250994,0.5303836143487609,0.4134980149977944,0.7529714436325735,0.31057716207204117
KNN,ADASYN,0.6358757895468325,0.41896575627293037,0.777451907915484,0.3252533280349692,0.5557315831164422,0.4103442513368984,0.74697300230583,0.3003967346202441
LightGBM,None,0.6376380704686928,0.4685763146639164,0.8023809523809524,0.3713271132154296,0.6034853457055562,0.4597611966033019,0.8193502171890873,0.41065179276560404
LightGBM,SMOTE+ENN,0.8565228193440271,0.46778892845532105,0.8240775780510879,0.40054869684499317,0.5286862057259251,0.4557826447490366,0.8181037021353942,0.41168958373448067
LightGBM,SMOTE,0.6695876797505208,0.4632373497339478,0.7961841690318512,0.3621468545613917,0.6077854475500736,0.4538617542673652,0.8158925897395772,0.40426831523218754
LightGBM,ADASYN,0.7007668837771865,0.4636888483738732,0.8119047619047619,0.3806177606177606,0.5577684734638452,0.4524716574103823,0.8154950236329547,0.40548198048903134
LightGBM,SMOTE+Tomek,0.7043470868844267,0.4657242742053252,0.8118574582150742,0.3802522634063298,0.5560710648410094,0.4516544117647059,0.8154341114286083,0.4049486998138696
LogisticRegression,None,0.6225441694259644,0.46410076976860254,0.7965625985493535,0.3628635044868767,0.6085775715740636,0.4546453630907093,0.8173003383470712,0.39069827390920653
LogisticRegression,SMOTE+ENN,0.7419665455818176,0.4669324900311605,0.7928413749605803,0.35893735651033126,0.6192146656105013,0.45444730504110953,0.8170715853531171,0.39033503196259467
LogisticRegression,SMOTE+Tomek,0.6357468366622925,0.4643724118230337,0.7998896247240618,0.3660689463441757,0.5960167477650786,0.45356297093649084,0.8169341706045214,0.3893925984619535
LogisticRegression,SMOTE,0.6325414180755615,0.46371025238795127,0.7996215704824976,0.3657301422129726,0.5965825506393573,0.45346636848443145,0.8169408338162831,0.3893102640441237
LogisticRegression,ADASYN,0.640153169631958,0.4619974428181126,0.7979659413434248,0.36329253197634437,0.5978273169627701,0.4519440523546773,0.8166471891422586,0.38798635055627445
RandomForest,SMOTE+ENN,0.6045607708191388,0.46066598807572223,0.8046988331756544,0.37275008963786305,0.5882086681000339,0.4563251689930647,0.8154884288362485,0.4007062471938253
RandomForest,None,0.5409126953059273,0.4563164108613891,0.8037212235887733,0.3674278581393641,0.5662555165780242,0.44567153544709653,0.8097080387302439,0.39996498625669763
RandomForest,SMOTE+Tomek,0.38282104186204613,0.44909190974086843,0.7863765373699149,0.34629690048939643,0.6005431707593074,0.4392848274149491,0.8058214385173043,0.3822434721589044
RandomForest,SMOTE,0.40594977315613123,0.44705882352893606,0.7996215704824976,0.35918515823935976,0.5586737580626909,0.43725090780267467,0.8055490926939435,0.38123617037970814
RandomForest,ADASYN,0.39113447413185887,0.44112627986301156,0.7911069063386944,0.3483045601485659,0.5730451510693675,0.433264887063655,0.8031221722619322,0.3758944872484103
XGBoost,SMOTE+ENN,0.841244101524353,0.4694650704647413,0.8149479659413434,0.3880262649671688,0.5684055675002829,0.46120650078046094,0.8202161258137611,0.4140813418904133
XGBoost,None,0.6696862578392029,0.4686581024604355,0.817360454115421,0.3903004154682007,0.5527894081701935,0.45754694890647685,0.8183778298599711,0.41021617133460664
XGBoost,ADASYN,0.71476149559021,0.46104181951529866,0.8059918006937874,0.3730315681535194,0.5763268077401833,0.4529124055135616,0.8146477518913336,0.40518741306730527
XGBoost,SMOTE+Tomek,0.7096754908561707,0.45950269012603484,0.8028539892778304,0.36884659416141957,0.583342763381238,0.45193530004821814,0.815516129677553,0.40629458422849374
XGBoost,SMOTE,0.7131544947624207,0.4613576256239735,0.8044465468306528,0.37065524998185906,0.5780242163630191,0.45167565655672476,0.815583119419323,0.4053716819221477
